timestamp,[NUMA:0]Free,anomaly_score
2019-02-20 00:00:00,9461244.0,1.0
2019-02-20 00:00:10,9461244.0,1.0
2019-02-20 00:00:20,9461244.0,1.0
2019-02-20 00:00:30,9461244.0,0.0
2019-02-20 00:00:40,9461244.0,0.0
2019-02-20 00:00:50,9461244.0,0.0
2019-02-20 00:01:00,9461244.0,0.0
2019-02-20 00:01:10,9461244.0,0.0
2019-02-20 00:01:20,9461244.0,0.0
2019-02-20 00:01:30,9461244.0,0.0
2019-02-20 00:01:40,9461244.0,0.0
2019-02-20 00:01:50,9461244.0,0.0
2019-02-20 00:02:00,9461244.0,0.0
2019-02-20 00:02:10,9461244.0,0.0
2019-02-20 00:02:20,9461244.0,0.0
2019-02-20 00:02:30,9461244.0,0.0
2019-02-20 00:02:40,9461244.0,0.0
2019-02-20 00:02:50,9461244.0,0.0
2019-02-20 00:03:00,9461244.0,0.0
2019-02-20 00:03:10,9461244.0,0.0
2019-02-20 00:03:20,9460996.0,0.0
2019-02-20 00:03:30,9460996.0,0.0
2019-02-20 00:03:40,9460996.0,0.0
2019-02-20 00:03:50,9460996.0,0.0
2019-02-20 00:04:00,9460996.0,0.0
2019-02-20 00:04:10,9460996.0,0.0
2019-02-20 00:04:20,9460996.0,0.0
2019-02-20 00:04:30,9460996.0,0.0
2019-02-20 00:04:40,9460996.0,0.0
2019-02-20 00:04:50,9460996.0,0.0
2019-02-20 00:05:00,9460996.0,0.0
2019-02-20 00:05:10,9460996.0,0.0
2019-02-20 00:05:20,9460996.0,0.0
2019-02-20 00:05:30,9460996.0,0.0
2019-02-20 00:05:40,9460996.0,0.0
2019-02-20 00:05:50,9460996.0,0.0
2019-02-20 00:06:00,9460996.0,0.0
2019-02-20 00:06:10,9460996.0,0.0
2019-02-20 00:06:20,9460996.0,0.0
2019-02-20 00:06:30,9460996.0,0.0
2019-02-20 00:06:40,9460996.0,0.0
2019-02-20 00:06:50,9460996.0,0.0
2019-02-20 00:07:00,9460996.0,0.0
2019-02-20 00:07:10,9460996.0,0.0
2019-02-20 00:07:20,9460996.0,0.0
2019-02-20 00:07:30,9460996.0,0.0
2019-02-20 00:07:40,9460996.0,0.0
2019-02-20 00:07:50,9460996.0,0.0
2019-02-20 00:08:00,9460996.0,0.0
2019-02-20 00:08:10,9460996.0,0.0
2019-02-20 00:08:20,9461120.0,0.0
2019-02-20 00:08:30,9461120.0,0.0
2019-02-20 00:08:40,9461120.0,0.0
2019-02-20 00:08:50,9461120.0,0.0
2019-02-20 00:09:00,9461120.0,0.0
2019-02-20 00:09:10,9461120.0,0.0
2019-02-20 00:09:20,9461120.0,0.0
2019-02-20 00:09:30,9461120.0,0.0
2019-02-20 00:09:40,9461120.0,0.0
2019-02-20 00:09:50,9461120.0,0.0
2019-02-20 00:10:00,9461120.0,0.0
2019-02-20 00:10:10,9461120.0,0.0
2019-02-20 00:10:20,9460748.0,0.0
2019-02-20 00:10:30,9460748.0,0.0
2019-02-20 00:10:40,9460748.0,0.0
2019-02-20 00:10:50,9460748.0,0.0
2019-02-20 00:11:00,9460748.0,0.0
2019-02-20 00:11:10,9460748.0,0.0
2019-02-20 00:11:20,9460748.0,0.0
2019-02-20 00:11:30,9460748.0,0.0
2019-02-20 00:11:40,9460748.0,0.0
2019-02-20 00:11:50,9460748.0,0.0
2019-02-20 00:12:00,9460872.0,0.0
2019-02-20 00:12:10,9460872.0,0.0
2019-02-20 00:12:20,9460872.0,0.0
2019-02-20 00:12:30,9460872.0,0.0
2019-02-20 00:12:40,9460872.0,0.0
2019-02-20 00:12:50,9460872.0,0.0
2019-02-20 00:13:00,9460872.0,0.0
2019-02-20 00:13:10,9460872.0,0.0
2019-02-20 00:13:20,9460872.0,0.0
2019-02-20 00:13:30,9460876.0,0.0
2019-02-20 00:13:40,9460876.0,0.0
2019-02-20 00:13:50,9460876.0,0.0
2019-02-20 00:14:00,9460876.0,0.0
2019-02-20 00:14:10,9461000.0,0.0
2019-02-20 00:14:20,9461000.0,0.0
2019-02-20 00:14:30,9461000.0,0.0
2019-02-20 00:14:40,9460876.0,0.0
2019-02-20 00:14:50,9460876.0,0.0
